"","x"
"1313","BRCA2"
"1314","BRCA2"
"1315","BRCA2"
"1316","BRCA2"
"1317","BRCA2"
"1318","BRCA2"
"1319","BRCA2"
"1320","BRCA2"
"1321","BRCA2"
"1322","BRCA2"
"1323","BRCA2"
"1324","BRCA2"
"1325","BRCA2"
"1326","BRCA2"
"1327","BRCA2"
"1328","BRCA2"
"1329","BRCA2"
"1330","BRCA2"
"1331","BRCA2"
"1332","BRCA2"
"1333","BRCA2"
"1334","BRCA2"
"1335","BRCA2"
"1336","BRCA2"
"1337","BRCA2"
"1338","BRCA2"
"1339","BRCA2"
"1340","BRCA2"
"1341","BRCA2"
"1342","BRCA2"
"1343","BRCA2"
"1344","BRCA2"
"1345","BRCA2"
"1346","BRCA2"
"1347","BRCA2"
"1348","BRCA2"
"1349","BRCA2"
"1350","BRCA2"
"1351","BRCA2"
"1352","BRCA2"
"1353","BRCA2"
"1354","BRCA2"
"1355","BRCA2"
"1356","BRCA2"
"1357","BRCA2"
"1358","BRCA2"
"1359","BRCA2"
"1360","BRCA2"
"1361","BRCA2"
